"","aggregation","ala.Elevation"
"E. amygdalina",1,0
"E. archeri",0,1
"E. barberi",1,0
"E. brookeriana",0,0
"E. coccifera",0,1
"E. cordata",0,0
"E. dalrympleana",1,1
"E. delegatensis",1,1
"E. globulus",1,0
"E. gunnii",0,1
"E. johnstonii",0,1
"E. morrisbyi",0,0
"E. nitida",1,0
"E. obliqua",1,0
"E. ovata",0,0
"E. pauciflora",1,1
"E. perriniana",0,1
"E. pulchella",1,0
"E. radiata",1,0
"E. regnans",0,0
"E. risdonii",1,0
"E. rodwayi",0,1
"E. rubida",1,0
"E. sieberi",1,0
"E. subcrenulata",0,1
"E. tenuiramis",1,0
"E. urnigera",0,1
"E. vernicosa",0,1
"E. viminalis",1,0
